package_name,category,subcategory,framework,ecosystem
tomli,Utility Libraries,General Utilities,Tomli,python
multidict,Utility Libraries,General Utilities,Multidict,python
rich,Utility Libraries,General Utilities,Rich,python
httpx,Application Integration,RPC & Web Services,Httpx,python
grpcio,Application Integration,RPC & Web Services,Grpcio,python
httpcore,Application Integration,RPC & Web Services,Httpcore,python
iniconfig,Utility Libraries,Configuration Utilities,Iniconfig,python
docutils,Utility Libraries,General Utilities,Docutils,python
requests-oauthlib,Security,Authentication & Authorization,Requests-oauthlib,python
sqlalchemy,Data Management,ORM & Data Access,Sqlalchemy,python
frozenlist,Utility Libraries,General Utilities,Frozenlist,python
google-cloud-storage,Application Integration,Service Integration Frameworks,Google-cloud-storage,python
tqdm,Observability,Metrics,Tqdm,python
tomlkit,Utility Libraries,General Utilities,Tomlkit,python
aiosignal,Utility Libraries,General Utilities,Aiosignal,python
pyparsing,Utility Libraries,General Utilities,Pyparsing,python
beautifulsoup4,Utility Libraries,General Utilities,Beautifulsoup4,python
greenlet,Utility Libraries,General Utilities,Greenlet,python
propcache,Utility Libraries,General Utilities,Propcache,python
requests-toolbelt,Application Integration,RPC & Web Services,Requests-toolbelt,python
soupsieve,Utility Libraries,General Utilities,Soupsieve,python
pillow,Utility Libraries,General Utilities,Pillow,python
pathspec,Utility Libraries,General Utilities,Pathspec,python
oauthlib,Security,Authentication & Authorization,Oauthlib,python
opensearch-py,Application Integration,Service Integration Frameworks,Opensearch-py,python
scipy,Utility Libraries,Collections & Data Structures,Scipy,python
more-itertools,Utility Libraries,Collections & Data Structures,More-itertools,python
distlib,Utility Libraries,General Utilities,Distlib,python
exceptiongroup,Utility Libraries,General Utilities,Exceptiongroup,python
pyopenssl,Security,Transport Security,Pyopenssl,python
rpds-py,Utility Libraries,Collections & Data Structures,Rpds-py,python
werkzeug,Application Development,Web Frameworks,Werkzeug,python
python-dotenv,Utility Libraries,Configuration Utilities,Python-dotenv,python
deprecated,Utility Libraries,General Utilities,Deprecated,python
requests-aws4auth,Security,Authentication & Authorization,Requests-aws4auth,python
jsonschema-specifications,Utility Libraries,General Utilities,Jsonschema-specifications,python
cloudpickle,Utility Libraries,General Utilities,Cloudpickle,python
openpyxl,Application Development,Web Frameworks,Openpyxl,python
et-xmlfile,Utility Libraries,General Utilities,Et-xmlfile,python
isodate,Utility Libraries,Date & Time Utilities,Isodate,python
referencing,Utility Libraries,General Utilities,Referencing,python
lxml,Utility Libraries,General Utilities,Lxml,python
aiohappyeyeballs,Application Integration,RPC & Web Services,Aiohappyeyeballs,python
async-timeout,Utility Libraries,General Utilities,Async-timeout,python
trove-classifiers,Utility Libraries,General Utilities,Trove-classifiers,python
proto-plus,Serialization,Schema Management,Proto-plus,python
decorator,Utility Libraries,General Utilities,Decorator,python
typing-inspection,Utility Libraries,General Utilities,Typing-inspection,python
google-api-python-client,Application Integration,Service Integration Frameworks,Google-api-python-client,python
snowflake-connector-python,Application Integration,Service Integration Frameworks,Snowflake-connector-python,python
mypy-extensions,Utility Libraries,General Utilities,Mypy-extensions,python
azure-identity,Security,Identity & Access Management,Azure-identity,python
tenacity,Utility Libraries,General Utilities,Tenacity,python
markdown-it-py,Utility Libraries,General Utilities,Markdown-it-py,python
coverage,Testing & Quality,Code Coverage,Coverage,python
grpcio-health-checking,Application Integration,RPC & Web Services,Grpcio-health-checking,python
google-cloud-core,Application Integration,Service Integration Frameworks,Google-cloud-core,python
poetry-core,Developer Tooling,Build Tools,Poetry-core,python
msgpack,Serialization,Binary Formats,Msgpack,python
mdurl,Utility Libraries,General Utilities,Mdurl,python
websocket-client,Application Integration,Messaging Protocols,Websocket-client,python
events,Utility Libraries,General Utilities,Events,python
flask,Application Development,Web Frameworks,Flask,python
pyzmq,Application Integration,Messaging Protocols,Pyzmq,python
azure-core,Application Integration,Service Integration Frameworks,Azure-core,python
pynacl,Security,Transport Security,Pynacl,python
msal,Security,Identity & Access Management,Msal,python
gitpython,Developer Tooling,Local Development Runtimes,Gitpython,python
sortedcontainers,Utility Libraries,Collections & Data Structures,Sortedcontainers,python
aliyun-python-sdk-core,Application Integration,Service Integration Frameworks,Aliyun-python-sdk-core,python
shellingham,Utility Libraries,General Utilities,Shellingham,python
opentelemetry-api,Observability,Tracing,Opentelemetry-api,python
langsmith,Utility Libraries,General Utilities,Langsmith,python
asn1crypto,Security,Transport Security,Asn1crypto,python
psycopg2-binary,Data Management,Relational Databases,Psycopg2-binary,python
dill,Utility Libraries,General Utilities,Dill,python
regex,Utility Libraries,General Utilities,Regex,python
opentelemetry-sdk,Observability,Tracing,Opentelemetry-sdk,python
google-resumable-media,Application Integration,Service Integration Frameworks,Google-resumable-media,python
scikit-learn,Utility Libraries,Collections & Data Structures,Scikit-learn,python
itsdangerous,Utility Libraries,General Utilities,Itsdangerous,python
smmap,Utility Libraries,General Utilities,Smmap,python
opentelemetry-semantic-conventions,Observability,Tracing,Opentelemetry-semantic-conventions,python
wcwidth,Utility Libraries,General Utilities,Wcwidth,python
starlette,Application Development,Web Frameworks,Starlette,python
gitdb,Utility Libraries,General Utilities,Gitdb,python
fastapi,Application Development,Web Frameworks,Fastapi,python
google-crc32c,Utility Libraries,General Utilities,Google-crc32c,python
keyring,Security,Identity & Access Management,Keyring,python
pexpect,Utility Libraries,General Utilities,Pexpect,python
ptyprocess,Utility Libraries,General Utilities,Ptyprocess,python
networkx,Utility Libraries,Collections & Data Structures,Networkx,python
bcrypt,Security,Authentication & Authorization,Bcrypt,python
chardet,Utility Libraries,General Utilities,Chardet,python
tabulate,Utility Libraries,General Utilities,Tabulate,python
blinker,Utility Libraries,General Utilities,Blinker,python
matplotlib,Application Development,Web Frameworks,Matplotlib,python
threadpoolctl,Utility Libraries,General Utilities,Threadpoolctl,python
jaraco-classes,Utility Libraries,General Utilities,Jaraco-classes,python
huggingface-hub,Application Integration,Service Integration Frameworks,Huggingface-hub,python
dnspython,Utility Libraries,General Utilities,Dnspython,python
rapidfuzz,Utility Libraries,General Utilities,Rapidfuzz,python
yandexcloud,Application Integration,Service Integration Frameworks,Yandexcloud,python
jeepney,Utility Libraries,General Utilities,Jeepney,python
fastjsonschema,Utility Libraries,General Utilities,Fastjsonschema,python
py4j,Utility Libraries,General Utilities,Py4j,python
importlib-resources,Utility Libraries,General Utilities,Importlib-resources,python
pyproject-hooks,Utility Libraries,General Utilities,Pyproject-hooks,python
build,Developer Tooling,Build Tools,Build,python
types-requests,Utility Libraries,General Utilities,Types-requests,python
secretstorage,Security,Access Control,Secretstorage,python
sphinx,Developer Tooling,Documentation, Sphinx,python
paramiko,Application Integration,Remote Procedure Calls,Paramiko,python
google-cloud-bigquery,Data Management,Data Warehousing,Google-cloud-bigquery,python
joblib,Utility Libraries,General Utilities,Joblib,python
prompt-toolkit,Application Development,Web Frameworks,Prompt-toolkit,python
uvicorn,Deployment & Runtime Platforms,Function-as-a-Service,Uvicorn,python
sqlparse,Utility Libraries,General Utilities,Sqlparse,python
backoff,Resilience & Control,Retries & Backoff,Backoff,python
fonttools,Utility Libraries,General Utilities,Fonttools,python
alembic,Developer Tooling,Code Generators,Alembic,python
ruamel-yaml,Serialization,JSON & XML,Ruamel-yaml,python
kiwisolver,Utility Libraries,General Utilities,Kiwisolver,python
httplib2,Application Integration,RPC & Web Services,Httplib2,python
typedload,Utility Libraries,General Utilities,Typedload,python
xmltodict,Serialization,JSON & XML,Xmltodict,python
google-auth-oauthlib,Security,Authentication & Authorization,Google-auth-oauthlib,python
langchain,Application Development,Web Frameworks,Langchain,python
ipython,Developer Tooling,Local Development Runtimes,IPython,python
rich-toolkit,Utility Libraries,General Utilities,Rich-toolkit,python
asgiref,Application Integration,Service Integration Frameworks,Asgiref,python
defusedxml,Security,Transport Security,Defusedxml,python
pkginfo,Utility Libraries,General Utilities,Pkginfo,python
azure-storage-blob,Application Integration,Service Integration Frameworks,Azure-storage-blob,python
msal-extensions,Utility Libraries,General Utilities,Msal-extensions,python
cycler,Utility Libraries,Collections & Data Structures,Cycler,python
marshmallow,Serialization,JSON & XML,Marshmallow,python
pytest-cov,Testing & Quality,Code Coverage,Pytest-cov,python
redis,Data Management,Caching,Redis,python
docker,Deployment & Runtime Platforms,Containerization,Docker,python
grpc-google-iam-v1,Application Integration,RPC & Web Services,Grpc-google-iam-v1,python
uritemplate,Utility Libraries,General Utilities,Uritemplate,python
google-auth-httplib2,Application Integration,RPC & Web Services,Google-auth-httplib2,python
awswrangler,Application Integration,Service Integration Frameworks,Awswrangler,python
distro,Utility Libraries,General Utilities,Distro,python
openai,Application Integration,Service Integration Frameworks,Openai,python
babel,Developer Tooling,Build Tools,Babel,python
jaraco-functools,Utility Libraries,General Utilities,Jaraco-functools,python
gunicorn,Deployment & Runtime Platforms,Application Servers,Gunicorn,python
opentelemetry-proto,Observability,Tracing,Opentelemetry-proto,python
tzlocal,Utility Libraries,Date & Time Utilities,Tzlocal,python
black,Developer Tooling,Build Tools,Black,python
nest-asyncio,Utility Libraries,General Utilities,Nest-asyncio,python
poetry-plugin-export,Developer Tooling,Dependency Management,Poetry-plugin-export,python
transformers,Application Development,Web Frameworks,Transformers,python
cachecontrol,Application Integration,RPC & Web Services,Cachecontrol,python
traitlets,Utility Libraries,General Utilities,Traitlets,python
termcolor,Utility Libraries,General Utilities,Termcolor,python
isort,Developer Tooling,Build Tools,Isort,python
zstandard,Utility Libraries,General Utilities,Zstandard,python
jaraco-context,Utility Libraries,General Utilities,Jaraco-context,python
contourpy,Utility Libraries,General Utilities,Contourpy,python
jedi,Developer Tooling,Local Development Runtimes,Jedi,python
toml,Utility Libraries,General Utilities,Toml,python
installer,Developer Tooling,Build Tools,Installer,python
opentelemetry-exporter-otlp-proto-common,Observability,Tracing,Opentelemetry-exporter-otlp-proto-common,python
parso,Developer Tooling,Local Development Runtimes,Parso,python
websockets,Application Integration,Messaging Protocols,Websockets,python
typer,Application Development,Web Frameworks,Typer,python
opentelemetry-exporter-otlp-proto-http,Observability,Tracing,Opentelemetry-exporter-otlp-proto-http,python
pycodestyle,Testing & Quality,Static Analysis,Pycodestyle,python
cython,Developer Tooling,Build Tools,Cython,python
types-python-dateutil,Utility Libraries,General Utilities,Types-python-dateutil,python
jsonpointer,Utility Libraries,General Utilities,Jsonpointer,python
pymysql,Data Management,Relational Databases,Pymysql,python
poetry,Developer Tooling,Dependency Management,Poetry,python
ruamel-yaml-clib,Utility Libraries,General Utilities,Ruamel-yaml-clib,python
setuptools-scm,Developer Tooling,Build Tools,Setuptools-scm,python
gym-notices,Utility Libraries,General Utilities,Gym-notices,python
matplotlib-inline,Application Development,Web Frameworks,Matplotlib-inline,python
markdown,Utility Libraries,General Utilities,Markdown,python
tornado,Application Development,Web Frameworks,Tornado,python
opentelemetry-exporter-otlp-proto-grpc,Observability,Tracing,Opentelemetry-exporter-otlp-proto-grpc,python
hatchling,Developer Tooling,Build Tools,Hatchling,python
dulwich,Utility Libraries,General Utilities,Dulwich,python
snowflake-sqlalchemy,Data Management,ORM & Data Access,Snowflake-sqlalchemy,python
pendulum,Utility Libraries,Date & Time Utilities,Pendulum,python
crashtest,Testing & Quality,Testing Frameworks,Crashtest,python
sentry-sdk,Observability,Monitoring,Sentry-sdk,python
kubernetes,Application Integration,Service Integration Frameworks,Kubernetes,python
prometheus-client,Observability,Metrics,Prometheus-client,python
weaviate-client,Application Integration,Service Integration Frameworks,Weaviate-client,python
py,Utility Libraries,General Utilities,Py,python
mako,Application Development,Template Engines,Mako,python
asttokens,Utility Libraries,General Utilities,Asttokens,python
mccabe,Testing & Quality,Static Analysis,Mccabe,python
executing,Utility Libraries,General Utilities,Executing,python
cleo,Utility Libraries,General Utilities,Cleo,python
langchain-core,Application Development,Web Frameworks,Langchain-core,python
webencodings,Utility Libraries,General Utilities,Webencodings,python
orjson,Serialization,JSON & XML,Orjson,python
tokenizers,Utility Libraries,General Utilities,Tokenizers,python
mypy,Developer Tooling,Static Analysis,Mypy,python
typing-inspect,Utility Libraries,General Utilities,Typing-inspect,python
sympy,Utility Libraries,Collections & Data Structures,Sympy,python
multiprocess,Utility Libraries,General Utilities,Multiprocess,python
ply,Developer Tooling,Code Generators,Ply,python
ruff,Developer Tooling,Static Analysis,Ruff,python
stack-data,Utility Libraries,General Utilities,Stack-data,python
pure-eval,Utility Libraries,General Utilities,Pure-eval,python
thriftpy2,Application Integration,RPC & Web Services,Thriftpy2,python
smart-open,Utility Libraries,General Utilities,Smart-open,python
torch,Application Development,Web Frameworks,Torch,python
python-json-logger,Observability,Logging,Python-json-logger,python
snowflake-snowpark-python,Data Management,Data Warehousing,Snowflake-snowpark-python,python
uv,Application Integration,RPC & Web Services,Uv,python
argcomplete,Utility Libraries,General Utilities,Argcomplete,python
pycryptodome,Security,Transport Security,Pycryptodome,python
pymongo,Data Management,NoSQL Databases,Pymongo,python
nodeenv,Utility Libraries,General Utilities,Nodeenv,python
aiofiles,Utility Libraries,General Utilities,Aiofiles,python
mpmath,Utility Libraries,General Utilities,Mpmath,python
pytest-xdist,Testing & Quality,Testing Frameworks,Pytest-xdist,python
arrow,Utility Libraries,Date & Time Utilities,Arrow,python
opentelemetry-exporter-otlp,Observability,Tracing,Opentelemetry-exporter-otlp,python
watchdog,Utility Libraries,General Utilities,Watchdog,python
shapely,Utility Libraries,General Utilities,Shapely,python
pyrsistent,Utility Libraries,Collections & Data Structures,Pyrsistent,python
scramp,Security,Authentication & Authorization,Scramp,python
email-validator,Utility Libraries,General Utilities,Email-validator,python
debugpy,Developer Tooling,Profiling & Debugging,Debugpy,python
python-slugify,Utility Libraries,General Utilities,Python-slugify,python
lz4,Utility Libraries,General Utilities,Lz4,python
future,Utility Libraries,General Utilities,Future,python
datadog,Observability,Monitoring,Datadog,python
google-cloud-pubsub,Application Integration,Service Integration Frameworks,Google-cloud-pubsub,python
opentelemetry-instrumentation,Observability,Tracing,Opentelemetry-instrumentation,python
pyspark,Data Management,Batch Processing,Pyspark,python
backports-tarfile,Utility Libraries,General Utilities,Backports-tarfile,python
jsonpatch,Serialization,JSON & XML,Jsonpatch,python
aioitertools,Utility Libraries,General Utilities,Aioitertools,python
jiter,Utility Libraries,General Utilities,Jiter,python
pygithub,Application Integration,Service Integration Frameworks,Pygithub,python
identify,Utility Libraries,General Utilities,Identify,python
jupyter-client,Developer Tooling,Local Development Runtimes,Jupyter-client,python
jsonpath-ng,Serialization,JSON & XML,Jsonpath-ng,python
jupyter-core,Developer Tooling,Local Development Runtimes,Jupyter-core,python
pytest-asyncio,Testing & Quality,Testing Frameworks,Pytest-asyncio,python
jupyterlab,Developer Tooling,Local Development Runtimes,Jupyterlab,python
cfgv,Utility Libraries,General Utilities,Cfgv,python
msrest,Application Integration,Service Integration Frameworks,Msrest,python
pre-commit,Developer Tooling,Local Development Runtimes,Pre-commit,python
pycryptodomex,Security,Transport Security,Pycryptodomex,python
execnet,Utility Libraries,General Utilities,Execnet,python
semver,Utility Libraries,General Utilities,Semver,python
slack-sdk,Application Integration,Service Integration Frameworks,Slack-sdk,python
ipykernel,Developer Tooling,Local Development Runtimes,Ipykernel,python
redshift-connector,Data Management,Data Warehousing,Redshift-connector,python
google-cloud-secret-manager,Application Integration,Service Integration Frameworks,Google-cloud-secret-manager,python
setproctitle,Utility Libraries,General Utilities,Setproctitle,python
pyflakes,Testing & Quality,Static Analysis,Pyflakes,python
mysql-connector-python,Data Management,Relational Databases,Mysql-connector-python,python
azure-common,Application Integration,Service Integration Frameworks,Azure-common,python
comm,Utility Libraries,General Utilities,Comm,python
azure-storage-file-datalake,Application Integration,Service Integration Frameworks,Azure-storage-file-datalake,python
gcsfs,Data Management,Data Lakes,Gcsfs,python
opentelemetry-util-http,Observability,Tracing,Opentelemetry-util-http,python
tinycss2,Utility Libraries,General Utilities,Tinycss2,python
colorlog,Observability,Logging,Colorlog,python
requests-file,Application Integration,RPC & Web Services,Requests-file,python
bleach,Utility Libraries,General Utilities,Bleach,python
rfc3339-validator,Utility Libraries,General Utilities,Rfc3339-validator,python
tableauserverclient,Application Integration,Service Integration Frameworks,Tableauserverclient,python
oss2,Application Integration,Service Integration Frameworks,Oss2,python
mistune,Utility Libraries,General Utilities,Mistune,python
apache-beam,Application Integration,ETL & Data Pipelines,Apache-beam,python
pytest-mock,Testing & Quality,Mocking & Fakes,Pytest-mock,python
sqlalchemy-bigquery,Data Management,ORM & Data Access,Sqlalchemy-bigquery,python
nbformat,Developer Tooling,Local Development Runtimes,Nbformat,python
text-unidecode,Utility Libraries,General Utilities,Text-unidecode,python
apache-airflow-providers-common-sql,Application Integration,ETL & Data Pipelines,Apache-airflow-providers-common-sql,python
editables,Utility Libraries,General Utilities,Editables,python
nbconvert,Developer Tooling,Code Generators,Nbconvert,python
dataclasses-json,Serialization,JSON & XML,Dataclasses-json,python
google-cloud-resource-manager,Application Integration,Service Integration Frameworks,Google-cloud-resource-manager,python
notebook,Developer Tooling,Local Development Runtimes,Notebook,python
croniter,Utility Libraries,General Utilities,Croniter,python
tiktoken,Utility Libraries,General Utilities,Tiktoken,python
nbclient,Developer Tooling,Local Development Runtimes,Nbclient,python
types-pyyaml,Utility Libraries,General Utilities,Types-pyyaml,python
elasticsearch,Application Integration,Service Integration Frameworks,Elasticsearch,python
typeguard,Utility Libraries,General Utilities,Typeguard,python
flake8,Testing & Quality,Static Analysis,Flake8,python
pydantic-settings,Utility Libraries,General Utilities,Pydantic-settings,python
python-multipart,Utility Libraries,General Utilities,Python-multipart,python
google-cloud-aiplatform,Application Integration,Service Integration Frameworks,Google-cloud-aiplatform,python
overrides,Utility Libraries,General Utilities,Overrides,python
pytzdata,Utility Libraries,Date & Time Utilities,Pytzdata,python
nltk,Utility Libraries,General Utilities,Nltk,python
cattrs,Utility Libraries,General Utilities,Cattrs,python
safetensors,Utility Libraries,General Utilities,Safetensors,python
zope-interface,Utility Libraries,General Utilities,Zope-interface,python
xlsxwriter,Utility Libraries,General Utilities,Xlsxwriter,python
lazy-object-proxy,Utility Libraries,General Utilities,Lazy-object-proxy,python
jupyter-server,Developer Tooling,Local Development Runtimes,Jupyter-server,python
tb-nightly,Observability,Metrics,Tb-nightly,python
ordered-set,Utility Libraries,Collections & Data Structures,Ordered-set,python
pg8000,Data Management,Relational Databases,Pg8000,python
opentelemetry-instrumentation-requests,Observability,Tracing,Opentelemetry-instrumentation-requests,python
pandocfilters,Utility Libraries,General Utilities,Pandocfilters,python
jupyterlab-pygments,Utility Libraries,General Utilities,Jupyterlab-pygments,python
uvloop,Utility Libraries,General Utilities,Uvloop,python
humanfriendly,Utility Libraries,General Utilities,Humanfriendly,python
watchfiles,Utility Libraries,General Utilities,Watchfiles,python
opentelemetry-exporter-prometheus,Observability,Metrics,Opentelemetry-exporter-prometheus,python
astroid,Utility Libraries,General Utilities,Astroid,python
simplejson,Serialization,JSON & XML,Simplejson,python
pbs-installer,Developer Tooling,Local Development Runtimes,Pbs-installer,python
gevent,Application Development,Reactive Programming,Gevent,python
argon2-cffi,Security,Authentication & Authorization,Argon2-cffi,python
findpython,Utility Libraries,General Utilities,Findpython,python
google-pasta,Utility Libraries,General Utilities,Google-pasta,python
google-cloud-appengine-logging,Observability,Logging,Google-cloud-appengine-logging,python
argon2-cffi-bindings,Security,Transport Security,Argon2-cffi-bindings,python
databricks-sql-connector,Application Integration,Service Integration Frameworks,Databricks-sql-connector,python
toolz,Utility Libraries,General Utilities,Toolz,python
fastavro,Serialization,Binary Formats,Fastavro,python
docstring-parser,Developer Tooling,Documentation,Docstring-parser,python
pinotdb,Data Management,ORM & Data Access,Pinotdb,python
deepdiff,Utility Libraries,General Utilities,Deepdiff,python
datasets,Utility Libraries,Collections & Data Structures,Datasets,python
gym,Utility Libraries,General Utilities,Gym,python
absl-py,Utility Libraries,General Utilities,Absl-py,python
python-telegram-bot,Application Integration,Service Integration Frameworks,Python-telegram-bot,python
nvidia-cublas-cu12,Utility Libraries,General Utilities,Nvidia-cublas-cu12,python
xlrd,Data Management,Data Warehousing,Xlrd,python
jupyterlab-server,Developer Tooling,Local Development Runtimes,Jupyterlab-server,python
nvidia-cusparse-cu12,Utility Libraries,General Utilities,Nvidia-cusparse-cu12,python
aenum,Utility Libraries,General Utilities,Aenum,python
altair,Application Development,Web Frameworks,Altair,python
json5,Serialization,JSON & XML,Json5,python
durationpy,Utility Libraries,Date & Time Utilities,Durationpy,python
httptools,Application Integration,RPC & Web Services,Httptools,python
nvidia-nvjitlink-cu12,Utility Libraries,General Utilities,Nvidia-nvjitlink-cu12,python
pylint,Testing & Quality,Static Analysis,Pylint,python
pysocks,Application Integration,RPC & Web Services,Pysocks,python
databricks-sdk,Application Integration,Service Integration Frameworks,Databricks-sdk,python
graphql-core,Application Integration,Service Integration Frameworks,Graphql-core,python
structlog,Observability,Logging,Structlog,python
pandas-gbq,Application Integration,Service Integration Frameworks,Pandas-gbq,python
responses,Testing & Quality,Mocking & Fakes,Responses,python
types-protobuf,Utility Libraries,General Utilities,Types-protobuf,python
retry,Resilience & Control,Retries & Backoff,Retry,python
nvidia-cufft-cu12,Utility Libraries,General Utilities,Nvidia-cufft-cu12,python
nvidia-curand-cu12,Utility Libraries,General Utilities,Nvidia-curand-cu12,python
sentencepiece,Utility Libraries,General Utilities,Sentencepiece,python
nvidia-cusolver-cu12,Utility Libraries,General Utilities,Nvidia-cusolver-cu12,python
nvidia-cuda-cupti-cu12,Utility Libraries,General Utilities,Nvidia-cuda-cupti-cu12,python
nvidia-cudnn-cu12,Utility Libraries,General Utilities,Nvidia-cudnn-cu12,python
tblib,Utility Libraries,General Utilities,Tblib,python
time-machine,Utility Libraries,General Utilities,Time-machine,python
nvidia-cuda-runtime-cu12,Utility Libraries,General Utilities,Nvidia-cuda-runtime-cu12,python
nvidia-cuda-nvrtc-cu12,Utility Libraries,General Utilities,Nvidia-cuda-nvrtc-cu12,python
db-dtypes,Utility Libraries,General Utilities,Db-dtypes,python
libcst,Testing & Quality,Static Analysis,Libcst,python
pbr,Utility Libraries,General Utilities,Pbr,python
tensorboard,Observability,Monitoring,Tensorboard,python
hvac,Application Integration,Service Integration Frameworks,Hvac,python
pyodbc,Data Management,ORM & Data Access,Pyodbc,python
imageio,Utility Libraries,General Utilities,Imageio,python
webcolors,Utility Libraries,General Utilities,Webcolors,python
wsproto,Application Integration,RPC & Web Services,Wsproto,python
tf-keras-nightly,Application Development,Web Frameworks,Tf-keras-nightly,python
xxhash,Utility Libraries,General Utilities,Xxhash,python
gcloud-aio-storage,Application Integration,Service Integration Frameworks,Gcloud-aio-storage,python
oauth2client,Security,Authentication & Authorization,Oauth2client,python
h5py,Data Management,Data Warehousing,H5py,python
azure-keyvault-secrets,Security,Secrets Management,Azure-keyvault-secrets,python
send2trash,Utility Libraries,General Utilities,Send2trash,python
thrift,Application Integration,RPC & Web Services,Thrift,python
google-cloud-logging,Observability,Logging,Google-cloud-logging,python
flatbuffers,Serialization,Binary Formats,Flatbuffers,python
xgboost,Utility Libraries,General Utilities,Xgboost,python
schema,Utility Libraries,General Utilities,Schema,python
google-cloud-dataproc,Deployment & Runtime Platforms,Cloud Platforms,Google-cloud-dataproc,python
seaborn,Application Development,Web Frameworks,Seaborn,python
nvidia-nccl-cu12,Utility Libraries,General Utilities,Nvidia-nccl-cu12,python
inflection,Utility Libraries,General Utilities,Inflection,python
selenium,Testing & Quality,Testing Frameworks,Selenium,python
narwhals,Utility Libraries,General Utilities,Narwhals,python
types-pytz,Utility Libraries,General Utilities,Types-pytz,python
ipywidgets,Application Development,Component Models,Ipywidgets,python
appdirs,Utility Libraries,General Utilities,Appdirs,python
fqdn,Utility Libraries,General Utilities,Fqdn,python
oscrypto,Security,Transport Security,Oscrypto,python
pkgutil-resolve-name,Utility Libraries,General Utilities,Pkgutil-resolve-name,python
async-lru,Utility Libraries,General Utilities,Async-lru,python
widgetsnbextension,Application Development,Component Models,Widgetsnbextension,python
isoduration,Utility Libraries,General Utilities,Isoduration,python
portalocker,Utility Libraries,General Utilities,Portalocker,python
uri-template,Utility Libraries,General Utilities,Uri-template,python
rfc3986,Utility Libraries,General Utilities,Rfc3986,python
aws-lambda-powertools,Utility Libraries,General Utilities,Aws-lambda-powertools,python
terminado,Developer Tooling,Local Development Runtimes,Terminado,python
